Season,Name,Team,Name,Team,Season,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wOBA,wRAA,wRC,Spd,wRC+,wSB,UBR,wGDP,XBR,IFH,BUH,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Bat,Fld,Rep,Pos,RAR,WAR,Dol,BsR,Def,Off,Lg,wOBA,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,xBA,xSLG,xwOBA,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
2023,"Romy Gonzalez","CHW","Romy Gonzalez","CHW",2023,26,44,93,97,18,9,4,2,3,11,14,2,0,36,0,1,1,0,7,0,0.193548387,0.020618556,0.37113402,0.055555555,0.208333333,0.376344086,0.584677419,0.182795699,0.272727272,0.24437189102172852,-5.961590099689009,5.857295353356359,9.816176468750001,49.63063448920751,1.3152436609379947,1.2000000476837158,0.6000000238418579,0.6904024481773376,0,0,1.611111111,0.189655172,0.5,0.310344827,0.055555555,0.166666666,0,0,0.3559322,0.33898305,0.30508475,0.15254237,0.61016949,0.23728814,-5.854243639465811,-2.478278398513794,3.0117018781602383,-0.21147696673870087,-3.2063056377977306,-0.3197247882746607,-2.5577983061972858,2.0056461091153324,-2.689755365252495,-3.848597530350479,0.32034537964500487,0.24437189102172852,90.5444756869612,4.9676229542699355,8,0.13559322,112.808,25,0.42372881,59,,,,0.41176471,0.63380282,0.49862259,0.45054945,0.83333333,0.64088398,0.39118457,0.68041237,0.17906336,0.17355372,0.35261708,"Romy Gonzalez",21562,663853
2023,"David Villar","SFG","David Villar","SFG",2023,26,46,124,140,18,7,6,0,5,15,12,11,0,45,4,1,0,1,1,1,0.14516129,0.078571428,0.321428571,0.244444444,0.235714285,0.314516129,0.550230414,0.169354839,0.173333333,0.24442685885088786,-8.597965697524069,8.460219492438318,3.509092393791608,51.375069984156674,-0.39159076008945704,0.20000001788139343,0.4000000059604645,0.060970671474933624,1,0,0.75,0.202531645,0.341772151,0.455696202,0.111111111,0.138888888,0.037037037,0,0.375,0.4,0.225,0.1625,0.525,0.3125,-8.433454046723364,1.776074767112732,4.346786215901375,-0.3840879201889038,-2.615349201251684,-0.26079608873745447,-2.0863687098996357,-0.3306200886145234,1.3919868469238281,-8.764074135337887,0.40995187126100063,0.24442685885088786,87.71472013449367,18.986516638647153,11,0.1375,106.797,26,0.325,80,,,,0.2984127,0.60869565,0.4293578,0.43617021,0.78571429,0.64529915,0.42201835,0.66428571,0.15229358,0.2,0.35229358,"David Villar",24782,681584
2022,"Travis Demeritte","ATL","Travis Demeritte","ATL",2022,27,26,89,96,19,14,2,0,3,9,6,6,0,32,0,1,0,2,0,0,0.213483146,0.0625,0.333333333,0.1875,0.260416666,0.337078651,0.597495317,0.123595505,0.29090909,0.26297222326199216,-3.5672323095872644,7.410027087919449,1.22240259,65.8542198576211,-0.08278160355985165,-1.1000000685453415,-0.20000000298023224,-0.8606014847755432,1,0,1.526315789,0.172413793,0.5,0.327586206,0.105263157,0.157894736,0.034482758,0,0.44827586,0.31034483,0.24137931,0.13793103,0.56896552,0.29310345,-3.808505951173568,-2.1535274982452393,2.8627036213874817,-1.1111109256744385,-4.713995341889525,-0.4949523670099555,-3.959618936079644,-0.9433830883353949,-3.2646384239196777,-4.7518890395089635,0.4398285001516342,0.26297222326199216,88.82037143049568,9.747019800646552,4,0.06896552,109.538,22,0.37931034,58,,,,0.27403846,0.62427746,0.43307087,0.57894737,0.71296296,0.66666667,0.45406824,0.60416667,0.14435696,0.20734908,0.35170604,"Travis Demeritte",15958,641513
2022,"Trevor Larnach","MIN","Trevor Larnach","MIN",2022,25,51,160,180,37,19,13,0,5,22,18,18,1,57,0,2,0,1,0,0,0.23125,0.1,0.316666666,0.315789473,0.305555555,0.40625,0.711805555,0.175,0.32,0.3087207864782664,-0.1465823377032455,20.43577903262184,1.64285714,101.3062830262141,-0.14900688640773296,0.19999998807907104,0.5,0.5767844915390015,0,0,1.073170731,0.19047619,0.419047619,0.39047619,0.024390243,0.121951219,0,0,0.42857143,0.3047619,0.26666667,0.13333333,0.4952381,0.37142857,0.2645922576527421,3.264577627182007,5.367569290101528,-2.4588472843170166,7.191065391384376,0.7550357135826973,6.040285708661578,0.4277776051312685,0.8057303428649902,0.6923698627840106,0.3253958956338465,0.3087207864782664,90.12462797619048,13.0632568359375,12,0.11428571,112.431,46,0.43809524,105,,,,0.26340326,0.63389831,0.41436464,0.38938053,0.77005348,0.62666667,0.40745856,0.6,0.15469613,0.1961326,0.35082873,"Trevor Larnach",21501,663616
2022,"Joey Bart","SFG","Joey Bart","SFG",2022,25,97,261,291,56,39,6,0,11,34,25,26,0,112,4,0,0,5,2,1,0.214559386,0.089347079,0.384879725,0.232142857,0.295532646,0.363984674,0.65951732,0.149425288,0.326086956,0.2942242384776217,-3.588301105179053,29.686516443513174,2.868242979850957,90.4026802445772,-0.2827762789092958,-1.3999999314546585,0.20000000298023224,-1.411834716796875,2,2,1.188679245,0.210884353,0.428571428,0.360544217,0.16981132,0.207547169,0.031746031,1,0.55033557,0.22147651,0.22818792,0.23489933,0.4295302,0.33557047,-3.2448103555815035,-7.270466566085815,8.677570352330804,5.671581745147705,3.472494321189661,0.3645992749353314,2.916794199482651,-1.6946109957061708,-1.5988848209381104,-4.939421351287674,1.3332301410846412,0.2942242384776217,87.3154163099315,16.346025858839898,15,0.10067114,114.279,64,0.4295302,149,,,,0.33533835,0.64717742,0.46856158,0.47533632,0.75389408,0.63970588,0.42721792,0.66666667,0.16881998,0.18087855,0.34969854,"Joey Bart",21524,663698
2024,"Kyle McCann","OAK","Kyle McCann","OAK",2024,26,54,140,157,33,24,4,0,5,13,15,16,1,59,1,0,0,2,0,0,0.235714285,0.101910828,0.375796178,0.27118644,0.318471337,0.371428571,0.689899908,0.135714286,0.368421052,0.30438493536068845,-0.7321628198847356,17.633394426025433,0.6542207712499999,101.87146780041243,-0.3156968951225281,-0.10000000149011612,0,-2.424107074737549,1,0,1.275862068,0.185185185,0.456790123,0.358024691,0.068965517,0.172413793,0.027027027,0,0.39506173,0.37037037,0.2345679,0.16049383,0.51851852,0.32098765,0.33619218907503456,-3.1506506204605103,4.747205851599574,2.129629611968994,1.8090446112323368,0.18683402017000925,1.494672161360074,-2.739803969860077,-1.0210210084915161,-2.4036117807850426,0.4864715489093214,0.30438493536068845,89.63942539544753,12.479644398630402,10,0.12345679,111.364,31,0.38271605,81,,,,0.27900552,0.69708029,0.4591195,0.34653465,0.68586387,0.56849315,0.43081761,0.59872611,0.19811321,0.1509434,0.3490566,"Kyle McCann",25575,668832
2022,"Romy Gonzalez","CHW","Romy Gonzalez","CHW",2022,25,32,105,109,25,18,4,1,2,15,11,2,0,39,1,1,0,3,0,1,0.238095238,0.018348623,0.357798165,0.051282051,0.256880733,0.352380952,0.609261685,0.114285714,0.353846153,0.2642042828262399,-3.9436065858814593,8.520156688370955,5.048595706249925,68.69860660989079,-0.4841004363261163,-0.20000000298023224,0.10000000149011612,0.03446660563349724,2,1,1.761904761,0.121212121,0.56060606,0.318181818,0,0.095238095,0.054054054,1,0.34328358,0.32835821,0.32835821,0.14925373,0.44776119,0.40298507,-3.839348294458139,0.6781215071678162,3.25036140345037,0.46467748284339905,0.3012235606668785,0.031627378378247945,0.25301902702598356,-0.4496338306926191,1.1427989900112152,-4.288982125150758,0.1970452923560515,0.2642042828262399,91.18115985576924,3.3173980712890625,6,0.08955224,110.52,33,0.49253731,67,,,,0.40930233,0.69101124,0.53689567,0.5,0.76422764,0.65402844,0.45292621,0.62385321,0.18575064,0.16284987,0.34860051,"Romy Gonzalez",21562,663853
2023,"Kevin Smith","OAK","Kevin Smith","OAK",2023,26,49,135,146,25,16,4,0,5,15,11,5,0,51,1,0,5,3,1,0,0.185185185,0.034246575,0.349315068,0.098039215,0.219858156,0.325925925,0.545784081,0.14074074,0.253164556,0.23632361533793997,-9.948998352667758,7.840251916864446,3.8541029947076177,48.509697469948605,0.030487283132970333,0.20000000298023224,0,-0.43530741333961487,5,0,1,0.142857142,0.428571428,0.428571428,0.083333333,0.138888888,0.138888888,0,0.37078652,0.29213483,0.33707865,0.16853933,0.53932584,0.29213483,-9.007637029668757,-1.6951072216033936,4.5330770537257195,1.2602877616882324,-4.832030231753805,-0.4818379834323536,-3.854703867458829,-0.40482013020664454,-0.43481945991516113,-9.412457159875402,0.48216933431103826,0.23632361533793997,88.03752790178571,13.642129080636161,8,0.08988764,109.267,32,0.35955056,89,,,,0.43288591,0.64253394,0.522158,0.55813953,0.81690141,0.69372694,0.42581888,0.70547945,0.15869981,0.1873805,0.34608031,"Kevin Smith",20242,675656
2023,"Wil Myers","CIN","Wil Myers","CIN",2023,32,37,127,141,24,18,3,0,3,11,12,12,0,48,0,1,1,3,2,1,0.188976377,0.085106382,0.340425531,0.25,0.257142857,0.283464566,0.540607423,0.094488189,0.272727272,0.2427147362913404,-8.859871334670471,8.320158035220219,2.9312694374178934,41.74008817962263,-0.25323174614459276,0.699999988079071,0,0.4349348247051239,1,0,1.538461538,0.175,0.5,0.325,0.23076923,0.115384615,0.025,0,0.51851852,0.28395062,0.19753086,0.17283951,0.55555556,0.27160494,-10.176709874807285,-0.13617928326129913,4.377834688872099,-2.0353221893310547,-7.375793481054144,-0.7354956998757669,-5.883965599006135,0.18170307856053114,-2.171501472592354,-9.995006796246754,0.4128800989128649,0.2427147362913404,87.5693860176282,10.956615741436298,5,0.0617284,105.799,24,0.2962963,81,,,,0.3257329,0.56326531,0.43115942,0.51,0.77536232,0.66386555,0.44384058,0.54609929,0.14492754,0.20108696,0.34601449,"Wil Myers",10047,571976
2024,"Oliver Dunn","MIL","Oliver Dunn","MIL",2024,26,41,95,104,21,16,2,2,1,11,7,6,0,40,2,0,1,1,3,0,0.221052631,0.057692307,0.384615384,0.15,0.281553398,0.315789473,0.597342871,0.094736842,0.37037037,0.2662219329945092,-3.6794522129185907,8.48626723660152,7.774898742591583,68.48006350662229,0.41058187186717987,-0.5,0,0.41153717041015625,3,0,1.733333333,0.24074074,0.481481481,0.277777777,0.133333333,0.066666666,0.115384615,0,0.48214286,0.33928571,0.17857143,0.14285714,0.51785714,0.33928571,-3.9199448548444025,1.2916525602340698,3.1446459144353867,-0.39094656705856323,1.2661841582320221,0.13076862510146536,1.046149000811723,0.8221190422773361,0.9007059931755066,-3.0978258125670664,0.31865806318819523,0.2662219329945092,89.06246383101852,6.5712099428530095,3,0.05357143,110.701,25,0.44642857,56,,,,0.24186047,0.65024631,0.44019139,0.42307692,0.79545455,0.69021739,0.48564593,0.59615385,0.13636364,0.20813397,0.34449761,"Oliver Dunn",26295,686554
