"pitcher","pitcher_name","pitch_hand","n_pitches","team_id","ball_angle","relative_release_ball_x","release_ball_z","relative_shoulder_x","shoulder_z"
676604,"Zuber, Tyler","R",75,139,"35.0",-1.8080285810748793,5.1708,-0.08052023410576352,3.958924944741533
641703,"Honeywell, Brent","R",595,9999,"45.3",-1.4782671074703633,6.179798319,0.08553985679833437,4.601713831393522
595897,"Burdi, Nick","R",210,147,"23.7",-2.3360171763312003,5.42447619,-0.029513486121721392,4.410028480604362
676684,"Vest, Will","R",1143,116,"46.2",-1.510727195180127,5.549256343,-0.0032502969325804115,3.9773966426656555
681982,"Anderson, Grant","R",483,140,"-2.9",-3.181969857956979,4.157453416,-1.036778366972612,4.266337137542762
641329,"Baker, Bryan","R",369,110,"56.9",-0.9688573013952826,6.551653117,0.398230152070683,4.45074861237917
674444,"Cruz, Steven","R",82,118,"32.2",-2.3286638609418047,5.609146341,-0.3509076866223208,4.364144541541673
573204,"Thielbar, Caleb","L",884,142,"54.3",0.953024279871193,6.058631222,-0.37982660982327937,4.207859372907944
656234,"Bird, Jake","R",656,115,"20.6",-2.441565798942447,5.370960366,-0.2554122989217861,4.547932247646843
681871,"Villalobos, Eli","R",71,146,"46.9",-1.1696472097487847,6.113239437,0.36226056840149645,4.474182786020939
650556,"Abreu, Bryan","R",1270,117,"45.1",-1.6400657213600989,5.750322835,0.008255719398711515,4.089015636588212
694297,"Pfaadt, Brandon","R",2790,109,"27.7",-2.409371465538616,5.508007168,-0.3724358933739681,4.436423559184497
700270,"Diaz, Yilber","R",469,109,"42.9",-1.5350342066741258,5.688464819,0.14379481298625282,4.125259457487205
607625,"Lugo, Seth","R",3112,118,"32.6",-2.2029809826809346,5.485899743,-0.1693410549812355,4.182185503645255
623474,"Herget, Jimmy","R",189,144,"0.5",-2.954822502243351,4.935978836,-0.6333738246140205,4.910772765469823
680694,"Bradish, Kyle","R",674,110,"58.0",-0.9076092352455899,6.354985163,0.24773578338807872,4.502538497781095
666129,"Garrett, Braxton","L",588,146,"42.4",1.6996680543697102,5.817942177,-0.0025360830695914604,4.261065096038411
686826,"Jarvis, Bryce","R",1006,109,"35.8",-1.797015975757918,5.648449304,-0.07428721503421547,4.4029198384558965
681293,"Arrighetti, Spencer","R",2505,117,"24.6",-2.2408396621029776,5.059361277,-0.18381528547183712,4.116487344419886
694973,"Skenes, Paul","R",2125,134,"23.3",-2.756957058016093,5.664536471,-0.5522816388801512,4.714925331404007
641427,"Busenitz, Alan","R",75,113,"39.6",-1.6399840725032395,6.0472,0.06962772311348787,4.633581777777778
544150,"Suárez, Albert","R",2232,110,"40.0",-1.7783902146002024,6.231832437,0.023429553281071304,4.719272808812349
656529,"Hentges, Sam","L",351,114,"39.2",1.8589264883064904,6.433105413,-0.09904394447237584,4.838849302222833
663554,"Mize, Casey","R",1788,116,"43.3",-1.6622942337749878,5.647869128,-0.07558678324899203,4.152719920085173
676282,"Cantillo, Joey","L",711,114,"55.4",0.9686616458358855,5.949901547,-0.2979485905217475,4.11745230538194
672851,"Adon, Joan","R",178,120,"34.0",-1.948613282777571,5.746011236,-0.02534913176710929,4.4478596466983085
662253,"Muñoz, Andrés","R",951,136,"29.1",-1.8772175200294252,5.174984227,-0.029935473589110584,4.147179719537181
671109,"Eder, Jake","L",45,145,"34.5",2.2016471251952416,5.658444444,0.2381579897009309,4.3076228441275495
694350,"Brzykcy, Zach","R",104,120,"48.4",-1.2570911179240778,5.763365385,0.2603274355546415,4.056784461127109
671922,"Smith, Cade","R",1166,114,"37.2",-1.8982844077956968,5.744914237,0.030333961194020723,4.278840376854008
800049,"Mazur, Adam","R",584,135,"49.8",-1.209705174464158,6.07864726,0.3975609422691867,4.17470360230019
663423,"Thornton, Trent","R",1139,136,"35.0",-1.9588525719222696,5.18428446,-0.16624286142424086,3.9297969787739495
686539,"Cronin, Declan","R",1096,146,"21.8",-2.4449216732533143,5.268339416,-0.055668967367969106,4.311631818425775
621345,"Minter, A.J.","L",522,144,"42.6",1.7134681570487913,5.7298659,0.17220237756196174,4.313516341918163
694738,"Roupp, Landen","R",906,137,"26.5",-2.39960097771749,5.254359823,-0.36359555537848276,4.23925101197011
656240,"Blewett, Scott","R",319,142,"49.5",-1.2778226556272283,6.267774295,0.19789370023301422,4.535612333830655
547184,"Kelly, Michael","R",470,133,"36.3",-1.8776934320018068,6.079,-0.003187196874881482,4.703480684757459
674944,"Guenther, Sean","L",243,116,"45.0",1.662040280224375,5.58909465,0.12095743638270874,4.047903492807529
683627,"Molina, Anthony","R",1042,115,"50.7",-1.2552328637125245,6.295316699,0.17527004098795337,4.546622135291033
666159,"Manning, Matt","R",438,116,"45.5",-1.6581532150306024,5.515616438,-0.12095916192545922,3.9508779749550285
696136,"Wicks, Jordan","L",852,112,"49.7",1.5777236309794824,5.943931925,0.045962079264057314,4.135179667846658
670280,"Bednar, David","R",1023,134,"40.8",-1.6812243535655822,5.898044966,-0.042370909108333674,4.481820286442132
